session ID,日付,スクロール率(%),現在のスクロール位置(px),ページ全体の高さ(px),ビューポートの高さ(px),動画再生時間(秒),案内が表示されたか,デバイス,セッション時間,アクション
4680d800-8182-4e51-9823-7030d2a70993,2024-12-08 15:24:33,100,4931,725,4206,0,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/14.20.0",5.678,normal
5f5ad2bb-0040-4576-98ac-65887e2b0c2c,2024-12-08 15:24:50,100,4931,725,4206,0,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/14.20.0",3.781,cta_click
a3e77713-22f4-4828-975e-59855ed62af3,2024-12-09 0:30:56,100,667,665,2,0,非表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/14.19.3",11.631,normal
a3e77713-22f4-4828-975e-59855ed62af3,2024-12-09 0:31:04,100,667,665,2,0,非表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/14.19.3",19.107,normal
ed605bff-5e86-44e2-bf56-46d28a8427ae,2024-12-09 0:31:20,100,667,665,2,0,非表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/14.19.3",10.277,normal
ed605bff-5e86-44e2-bf56-46d28a8427ae,2024-12-09 0:31:21,100,667,665,2,0,非表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/14.19.3",11.801,normal
ed605bff-5e86-44e2-bf56-46d28a8427ae,2024-12-09 0:31:31,100,667,665,2,0,非表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/14.19.3",21.799,normal
ed605bff-5e86-44e2-bf56-46d28a8427ae,2024-12-09 0:31:32,100,667,665,2,0,非表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/14.19.3",22.008,normal
e907ba03-068e-4e02-a7a3-018e90fb653d,2024-12-09 0:39:13,77,4931,665,3268,611.074,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/14.19.3",72.288,normal
0dbd9c94-8e06-4c92-8aa0-32d2af670a14,2024-12-11 1:59:58,100,851,741,110,0,非表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",7.284,normal
0dbd9c94-8e06-4c92-8aa0-32d2af670a14,2024-12-11 2:00:02,100,851,741,110,0,非表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",11.334,normal
89f8d5de-e25d-4bf7-9afe-cf0dfa458bb2,2024-12-11 2:00:16,100,851,741,110,0,非表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",12.855,normal
89f8d5de-e25d-4bf7-9afe-cf0dfa458bb2,2024-12-11 2:00:23,-85,851,741,-93,0,非表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",19.868,normal
6f9dd7b6-3dfd-4a57-b803-b4ac9af29923,2024-12-11 2:00:26,-144,851,741,-158,0,非表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",3.325,normal
f5facfeb-244b-4543-9cc1-ab4492154962,2024-12-11 2:00:29,-155,851,741,-171,0,非表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",2.167,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:11:30,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",661.598,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:12:00,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",691.598,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:12:30,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",721.598,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:13:00,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",751.598,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:13:30,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",781.599,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:14:00,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",811.599,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:14:30,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",841.6,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:15:00,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",871.6,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:15:30,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",901.601,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:16:01,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",932.207,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:16:00,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",931.601,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:16:30,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",961.604,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:17:00,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",991.636,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:17:31,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1022.636,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:18:02,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1053.636,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:18:33,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1084.636,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:19:04,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1115.636,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:19:35,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1146.636,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:20:06,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1177.637,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:20:37,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1208.637,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:21:08,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1239.637,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:21:39,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1270.637,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:22:10,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1301.636,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:22:41,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1332.637,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:23:12,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1363.555,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:23:43,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1394.555,normal
e5804e76-b54b-4ac4-85eb-253f267f5225,2024-12-11 2:24:14,8,1069,370,57,626.603,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.103 Mobile/15E148 Safari/604.1",1425.554,normal
